Value,Time
17,2621163
0,2623168
0,2625162
0,2627257
0,2629168
0,2631171
2,2633157
4,2635168
13,2637255
22,2639175
22,2641165
19,2643163
15,2645163
0,2647303
4,2649165
20,2651165
21,2653158
0,2655171
0,2657262
0,2659165
0,2661149
1,2663169
0,2665163
0,2667256
0,2669168
13,2671173
30,2673162
38,2675158
14,2677471
0,2679181
0,2681165
25,2683147
90,2685148
82,2687288
19,2689169
0,2691144
0,2693159
0,2695176
6,2697259
61,2699167
67,2701152
53,2703167
18,2705149
0,2707257
17,2709154
84,2711173
105,2713161
84,2715150
0,2717254
0,2719170
1,2721156
29,2723154
21,2725148
17,2727265
0,2729173
0,2731150
0,2733158
0,2735176
6,2737336
9,2739158
7,2741149
21,2743172
3,2745155
0,2747301
15,2749157
27,2751173
32,2753156
33,2755149
10,2757257
29,2759182
41,2761153
24,2763148
9,2765147
0,2767274
0,2769167
14,2771151
57,2773158
53,2775176
0,2777262
0,2779154
0,2781157
0,2783168
0,2785152
18,2787254
38,2789152
16,2791162
0,2793163
0,2795149
33,2797252
92,2799164
102,2801151
8,2803162
14,2805159
8,2807278
56,2809167
79,2811158
43,2813160
13,2815170
0,2817259
0,2819166
0,2821164
0,2823175
0,2825156
0,2827257
0,2829155
0,2831166
0,2833164
34,2835166
76,2837265
74,2839176
49,2841168
27,2843170
0,2845163
16,2847300
11,2849162
7,2851163
7,2853161
8,2855175
1,2857256
0,2859164
0,2861162
0,2863172
0,2865162
0,2867258
0,2869170
0,2871170
0,2873164
11,2875166
14,2877255
0,2879177
0,2881168
0,2883158
67,2885160
88,2887276
57,2889167
0,2891158
0,2893158
0,2895173
0,2897257
37,2899164
59,2901162
24,2903176
0,2905166
0,2907260
0,2909170
36,2911175
56,2913162
0,2915161
16,2917260
0,2919177
16,2921166
52,2923485
49,2925183
0,2927388
0,2929174
0,2931166
0,2933166
0,2935183
23,2937567
19,2939177
0,2941169
0,2943180
0,2945170
13,2947389
49,2949175
63,2951179
45,2953163
24,2955162
17,2957268
4,2959183
6,2961169
0,2963165
0,2965165
0,2967283
5,2969173
14,2971167
0,2973165
0,2975181
0,2977267
0,2979174
1,2981168
27,2983178
12,2985170
0,2987260
0,2989170
0,2991177
23,2993169
45,2995166
5,2997259
0,2999180
0,3001241
6,3003168
30,3005168
30,3007304
16,3009176
0,3011179
0,3013166
0,3015181
0,3017264
0,3019170
0,3021168
0,3023177
4,3025169
0,3027261
0,3029174
0,3031181
5,3033167
20,3035171
27,3037264
26,3039179
21,3041171
27,3043166
22,3045166
11,3047378
0,3049178
0,3051163
2,3053161
30,3055178
0,3057263
0,3059159
0,3061165
0,3063171
0,3065170
0,3067262
0,3069169
0,3071177
7,3073169
25,3075164
35,3077260
27,3079183
22,3081170
0,3083163
25,3085173
84,3087291
87,3089171
23,3091166
0,3093162
0,3095179
0,3097263
0,3099183
31,3101169
54,3103169
26,3105165
0,3107262
0,3109172
1,3111180
64,3113162
91,3115166
33,3117262
0,3119185
